id,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
45607490,256543875,2019/4/17,N/A,N/A,N/A,f,t,f,Vieux-Limoilou,46.82329,-71.22244,Entire apartment,Entire home/apt,1,1 bath,1,$38.00,1,1125,0,1,4,f,0.12
45635275,148963410,2017/9/3,within an hour,100%,100%,f,t,t,Chutes-Montmorency,46.8797,-71.15346,Entire house,Entire home/apt,8,1.5 baths,0,$80.00,32,1125,101,0,,t,
45635529,369697564,2020/9/28,within an hour,100%,100%,f,t,t,Saint-Roch,46.81227,-71.22797,Entire apartment,Entire home/apt,8,1 bath,3,$124.00,1,1125,121,5,4.2,t,0.56
45635895,369264398,2020/9/25,within a day,74%,57%,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire apartment,Entire home/apt,4,1 bath,2,$62.00,30,1125,352,0,,f,
45636174,369264398,2020/9/25,within a day,74%,57%,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire apartment,Entire home/apt,4,1 bath,2,$58.00,30,1125,280,0,,f,
45636662,369264398,2020/9/25,within a day,74%,57%,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire apartment,Entire home/apt,4,1 bath,2,$65.00,30,1125,363,0,,f,
45651336,369822393,2020/9/29,within an hour,100%,100%,t,t,f,Quartier 5-1,46.90963,-71.20582,Entire apartment,Entire home/apt,4,1 bath,2,$58.00,1,1125,154,28,4.71,t,3.29
45670735,369264398,2020/9/25,within a day,74%,57%,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire loft,Entire home/apt,2,1 bath,1,$44.00,30,1125,308,0,,f,
45671140,369264398,2020/9/25,within a day,74%,57%,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire loft,Entire home/apt,4,1 bath,2,$51.00,30,1125,279,0,,f,
45672274,369264398,2020/9/25,within a day,74%,57%,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire loft,Entire home/apt,2,1 bath,1,$45.00,30,1125,363,3,5,f,0.91
