"","id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","review_scores_rating","instant_bookable","reviews_per_month","year"
"1193","36015143","269732032",2019-06-19,"within an hour",100,83,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81495,-71.208,"Entire apartment","Entire home/apt",4,"1 bath",2,200,2,1125,46,20,4.5,"f",1.11,2
"1194","36028225","271047805",2019-06-24,"within an hour",100,100,"t","t","f","Sillery",46.76956,-71.27575,"Entire apartment","Entire home/apt",2,"1 bath",1,88,2,28,149,12,5,"t",1.08,2
"1195","36028517","204190789",2018-07-22,"within a few hours",90,81,"t","t","t","Quartier 4-2",46.87618,-71.28508,"Entire condominium","Entire home/apt",3,"1 bath",2,75,3,1125,35,5,4.8,"f",0.79,3
"1196","36078088","181671343",2018-03-31,"within an hour",100,100,"t","t","t","Neufchâtel-Est/Lebourgneuf",46.84201,-71.31016,"Entire apartment","Entire home/apt",4,"1 bath",2,74,3,14,0,21,4.9,"t",0.88,3
"1197","36096342","182665076",2018-04-05,"N/A",NA,NA,"f","t","t","Cité Universitaire",46.77404,-71.30345,"Private room in apartment","Private room",1,"1 shared bath",1,39,3,30,82,28,4.86,"t",1.19,3
"1198","36106452","43289593",2015-09-03,"within an hour",100,100,"f","t","t","Neufchâtel-Est/Lebourgneuf",46.85804,-71.32718,"Entire apartment","Entire home/apt",8,"1 bath",3,125,2,1125,259,59,4.75,"t",2.4,6
"1199","36142335","34462857",2015-05-28,"within an hour",93,91,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81321,-71.21546,"Entire apartment","Entire home/apt",6,"1 bath",2,290,2,1125,124,2,5,"t",0.09,6
"1200","36146668","238301969",2019-01-22,"N/A",NA,NA,"f","t","f","Lairet",46.83647,-71.25666,"Private room in apartment","Private room",2,"1 shared bath",1,25,2,5,0,3,4.67,"f",0.13,2
"1201","36148064","58015938",2016-02-09,"N/A",NA,NA,"t","t","t","Saint-Jean-Baptiste",46.80458,-71.22496,"Private room in apartment","Private room",2,"1 shared bath",1,49,2,1125,0,23,5,"f",0.95,5
"1202","36153139","271931557",2019-06-28,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80693,-71.22651,"Entire apartment","Entire home/apt",4,"1 bath",1,55,1,1125,159,67,4.55,"t",2.8,2
"1203","36199393","272243290",2019-06-29,"N/A",NA,NA,"f","t","t","Neufchâtel-Est/Lebourgneuf",46.83819,-71.32149,"Entire apartment","Entire home/apt",6,"1 bath",4,100,2,1125,0,24,4.79,"t",1.01,2
"1204","36206176","143497951",2017-07-31,"N/A",NA,100,"t","t","t","Cité Universitaire",46.78615,-71.26633,"Private room in apartment","Private room",1,"1 shared bath",1,22,1,1125,0,18,4.94,"t",0.74,4
"1205","36210593","40736086",2015-08-06,"within a few hours",100,73,"t","t","t","Vieux-Limoilou",46.82334,-71.22745,"Entire apartment","Entire home/apt",6,"1 bath",3,100,28,1125,365,10,4.8,"f",0.43,6
"1206","36229258","146312425",2017-08-16,"N/A",NA,NA,"f","t","t","Duberger-Les Saules",46.81038,-71.30209,"Private room in house","Private room",2,"1 shared bath",1,22,31,31,0,34,4.68,"f",1.4,4
