id,host_id,host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,year,host_acceptance_rate,host_response_rate,price_boxcox,weights
45255548,357423766,within an hour,t,t,t,Montcalm,46.80414,-71.23113,Entire apartment,Entire home/apt,2,1 bath,1,96,1,1125,178,2,4.5,f,0.36,1,100,100,4.5643481915,1
45260425,139955908,within a few hours,f,t,t,L'Aéroport,46.78172,-71.36678,Private room in townhouse,Private room,1,1 shared bath,1,35,1,1125,361,1,4,f,0.6,4,56,100,3.5553480615,1
45262672,269004540,within an hour,t,t,t,Saint-Roch,46.8118,-71.2239,Entire apartment,Entire home/apt,2,1 bath,0,130,1,365,247,14,4.79,t,1.48,2,99,100,4.8675344505,1
45262690,269004540,within an hour,t,t,t,Saint-Roch,46.8118,-71.2239,Entire apartment,Entire home/apt,2,1 bath,1,154,1,365,231,17,4.94,t,3.07,2,99,100,5.0369526024,1
45268176,365675857,within an hour,t,t,t,Saint-Jean-Baptiste,46.81236,-71.21768,Entire apartment,Entire home/apt,3,1 bath,2,109,2,1125,160,4,4.75,f,0.95,1,100,100,4.6913478822,1
45290919,241075111,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81076,-71.21005,Entire loft,Entire home/apt,2,1 bath,1,89,1,365,138,6,4.67,t,0.61,2,100,93,4.4886363697,1
45296135,191160394,within an hour,t,t,t,Sillery,46.76052,-71.2673,Entire apartment,Entire home/apt,4,1 bath,2,115,2,1125,88,14,4.93,t,1.57,3,100,100,4.7449321284,1
45313772,241075111,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81068,-71.21108,Entire loft,Entire home/apt,2,1 bath,1,89,1,365,147,8,4.38,t,0.9,2,100,93,4.4886363697,1
45313965,241075111,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81149,-71.21033,Entire loft,Entire home/apt,2,1 bath,1,59,1,365,135,8,4.13,t,0.85,2,100,93,4.0775374439,1
45323867,269004540,within an hour,t,t,t,Saint-Roch,46.8118,-71.2239,Entire apartment,Entire home/apt,2,1 bath,1,169,1,365,183,4,5,t,0.44,2,99,100,5.1298987149,1
45398595,7927151,within a few hours,t,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81205,-71.20777,Room in boutique hotel,Private room,2,1 private bath,1,119,1,40,0,2,4.5,f,1.33,8,90,100,4.7791234931,1
45436810,27861104,within an hour,f,t,t,Lairet,46.83829,-71.24985,Entire apartment,Entire home/apt,6,1 bath,4,137,3,1125,26,1,5,f,0.32,6,93,100,4.9199809258,1
45451468,367673748,within an hour,f,t,t,Saint-Roch,46.81286,-71.22774,Entire apartment,Entire home/apt,8,1 bath,5,128,1,1125,351,18,4.5,t,3.1,1,100,100,4.8520302639,0.86537896
45462398,360561337,within an hour,t,t,t,Vieux-Limoilou,46.82596,-71.22862,Entire apartment,Entire home/apt,9,1.5 baths,5,221,1,31,350,4,4.75,t,0.42,1,100,100,5.3981627015,1
45476870,65029893,within a day,f,t,t,Maizerets,46.83928,-71.22586,Entire apartment,Entire home/apt,8,1 bath,4,135,2,1125,214,3,5,f,0.75,5,90,100,4.9052747784,0.9059986222
45491054,368119603,within an hour,t,t,f,Maizerets,46.84088,-71.23042,Private room in apartment,Private room,2,1 shared bath,1,30,1,1125,253,7,4.86,t,0.74,1,95,80,3.4011973817,0.5777504001
45515077,257037717,within an hour,f,t,t,Saint-Sauveur,46.81023,-71.23865,Entire apartment,Entire home/apt,2,1 bath,2,136,2,365,227,41,4.73,f,5.39,2,97,100,4.9126548857,1
45532124,241075111,within an hour,f,t,t,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81115,-71.21095,Entire loft,Entire home/apt,2,1 bath,1,89,1,1125,148,7,4.57,t,1.18,2,100,93,4.4886363697,1
45555260,54605895,within an hour,f,t,t,Sillery,46.76591,-71.26396,Private room in townhouse,Private room,2,1 shared bath,2,49,3,28,25,2,4.5,f,1.54,5,100,100,3.8918202981,1
45635529,369697564,within an hour,f,t,t,Saint-Roch,46.81227,-71.22797,Entire apartment,Entire home/apt,8,1 bath,3,124,1,1125,121,5,4.2,t,0.56,1,100,100,4.8202815656,0.9303145295
45651336,369822393,within an hour,t,t,f,Quartier 5-1,46.90963,-71.20582,Entire apartment,Entire home/apt,4,1 bath,2,58,1,1125,154,28,4.71,t,3.29,1,100,100,4.0604430105,1
45672274,369264398,within a day,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire loft,Entire home/apt,2,1 bath,1,45,30,1125,363,3,5,f,0.91,1,57,74,3.8066624898,1
45673326,369264398,within a day,f,t,t,Saint-Jean-Baptiste,46.80849,-71.2234,Entire loft,Entire home/apt,2,1 bath,0,45,30,1125,342,1,5,f,1,1,57,74,3.8066624898,1
45707815,133449041,within an hour,f,t,f,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80389,-71.22067,Entire condominium,Entire home/apt,4,1 bath,2,175,1,1125,118,9,5,t,1.79,4,100,100,5.1647859739,1
45730348,19109849,within an hour,f,t,t,Vieux-Limoilou,46.82841,-71.23981,Entire apartment,Entire home/apt,2,1 bath,1,75,2,1125,107,1,5,t,1,7,100,100,4.3174881135,1
45736226,53451612,within a few hours,t,t,t,Vieux-Limoilou,46.82597,-71.2295,Entire apartment,Entire home/apt,4,1 bath,0,87,2,1125,243,13,4.69,t,2.47,5,80,100,4.4659081187,1
45830183,1646154,within a few hours,f,t,t,Saint-Sauveur,46.81439,-71.23844,Entire apartment,Entire home/apt,4,1 bath,2,35,31,365,325,2,5,f,1.2,9,90,96,3.5553480615,0.6519268773
